v2,V(vgs),Id(J1)
-2.330000000000078e+000,-2.330000e+000,1.234000e-011
-2.320000000000078e+000,-2.320000e+000,1.233000e-011
-2.310000000000079e+000,-2.310000e+000,1.232000e-011
-2.300000000000079e+000,-2.300000e+000,1.231000e-011
-2.290000000000079e+000,-2.290000e+000,1.230000e-011
-2.280000000000079e+000,-2.280000e+000,1.229000e-011
-2.270000000000080e+000,-2.270000e+000,1.228000e-011
-2.260000000000080e+000,-2.260000e+000,1.227000e-011
-2.250000000000080e+000,-2.250000e+000,1.226000e-011
-2.240000000000080e+000,-2.240000e+000,1.225000e-011
-2.230000000000080e+000,-2.230000e+000,1.224000e-011
-2.220000000000081e+000,-2.220000e+000,1.223000e-011
-2.210000000000081e+000,-2.210000e+000,1.222000e-011
-2.200000000000081e+000,-2.200000e+000,1.221000e-011
-2.190000000000081e+000,-2.190000e+000,1.220000e-011
-2.180000000000081e+000,-2.180000e+000,1.219000e-011
-2.170000000000082e+000,-2.170000e+000,1.218000e-011
-2.160000000000082e+000,-2.160000e+000,1.217000e-011
-2.150000000000082e+000,-2.150000e+000,1.216000e-011
-2.140000000000082e+000,-2.140000e+000,1.215000e-011
-2.130000000000083e+000,-2.130000e+000,1.214000e-011
-2.120000000000083e+000,-2.120000e+000,1.213000e-011
-2.110000000000083e+000,-2.110000e+000,1.212000e-011
-2.100000000000083e+000,-2.100000e+000,1.211000e-011
-2.090000000000083e+000,-2.090000e+000,1.210000e-011
-2.080000000000084e+000,-2.080000e+000,1.209000e-011
-2.070000000000084e+000,-2.070000e+000,1.208000e-011
-2.060000000000084e+000,-2.060000e+000,1.207000e-011
-2.050000000000084e+000,-2.050000e+000,1.206000e-011
-2.040000000000084e+000,-2.040000e+000,1.205000e-011
-2.030000000000085e+000,-2.030000e+000,1.204000e-011
-2.020000000000085e+000,-2.020000e+000,1.203000e-011
-2.010000000000085e+000,-2.010000e+000,1.202000e-011
-2.000000000000085e+000,-2.000000e+000,1.201000e-011
-1.990000000000085e+000,-1.990000e+000,1.200000e-011
-1.980000000000085e+000,-1.980000e+000,1.199000e-011
-1.970000000000085e+000,-1.970000e+000,1.198000e-011
-1.960000000000085e+000,-1.960000e+000,1.197000e-011
-1.950000000000085e+000,-1.950000e+000,1.196000e-011
-1.940000000000085e+000,-1.940000e+000,1.195000e-011
-1.930000000000085e+000,-1.930000e+000,1.194000e-011
-1.920000000000085e+000,-1.920000e+000,1.193000e-011
-1.910000000000085e+000,-1.910000e+000,1.192000e-011
-1.900000000000085e+000,-1.900000e+000,1.191000e-011
-1.890000000000085e+000,-1.890000e+000,1.190000e-011
-1.880000000000085e+000,-1.880000e+000,1.189000e-011
-1.870000000000085e+000,-1.870000e+000,1.188000e-011
-1.860000000000085e+000,-1.860000e+000,1.187000e-011
-1.850000000000085e+000,-1.850000e+000,1.186000e-011
-1.840000000000085e+000,-1.840000e+000,1.185000e-011
-1.830000000000085e+000,-1.830000e+000,1.184000e-011
-1.820000000000085e+000,-1.820000e+000,1.183000e-011
-1.810000000000085e+000,-1.810000e+000,1.182000e-011
-1.800000000000085e+000,-1.800000e+000,1.181000e-011
-1.790000000000085e+000,-1.790000e+000,1.180000e-011
